n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
5020,0.137999996542931,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.145520001649857,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.150260001420975,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.146219998598099,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.149920001626015,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.151600003242493,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
5020,0.153219997882843,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.137559995055199,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.151639997959137,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.151960000395775,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.147420004010201,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.13629999756813,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.161119997501373,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
10020,0.157659992575645,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.135480001568794,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.141580000519753,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.147540003061295,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.154919996857643,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.153640002012253,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.156959995627403,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
15020,0.155540004372597,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
