n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
480,0.0335161761934204,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0376118517303289,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0412083582353301,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0386191995999434,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0396996498699457,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0389696027698661,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
480,0.0378849319614738,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0352863136067501,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0411187824341137,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0413049458989803,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0441224603274344,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0427629845539896,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0388486304056256,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
940,0.0362070150407468,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0382554411100273,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0416870454424712,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0421025173019414,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0394270426522748,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0429398539872737,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0406731497805493,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1420,0.0388327654849236,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0413738711980045,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0427288389845011,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0533025884106695,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0390679055950019,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0465267301288438,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.0377144856957964,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
1880,0.045073354862665,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2340,0.0536926193132484,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2340,0.0444584668159613,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2340,0.0513223375182873,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2360,0.0470000540173816,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2360,0.0556233904067222,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2360,0.0414745806762362,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2360,0.0465224794561523,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0563115940061393,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0498440767390116,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0652008148978827,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0627679509553804,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0526841341226119,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.0469160979674245,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
2820,0.052337393377339,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3280,0.0612314951968513,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3280,0.0545695045338069,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3280,0.0719639675654463,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3300,0.0684829472679581,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3300,0.0574461277777004,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3300,0.0512027058286486,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
